name,boxoffice,Unit,Director,genre,date,actor
亡命救赎,1414,万,让-弗朗西斯·瑞切,"动作,犯罪",2018-11-30大陆上映,"Lucien Dale,丹尼尔·蒙卡达,托马斯·曼,安德丽亚·贝尔洛夫,Jennifer Roth,罗伯·威尔逊·金,瑞恩·多尔西,Catalina Parish,Billy Ray,艾琳·莫里亚蒂,Taylor Wagenman,Alex Gopal,Shannan Wagenman,琼安·坎普,迭戈·卢纳,彼得·克莱格,克里斯·布里吉斯,Tara Elliott,Julianne Medina,戴尔·迪奇,McKenna Wagenman,伊丽莎白·霍尔姆,Damon Somers,理查德·卡夫拉尔,梅丽萨洛艾莉丝,Akshay Patel,Gerry Medina,Alexander Wagenman,梅尔·吉布森,Kevin Black,Rich Chavez,Madison Fogle,Cheo Tapia,威廉姆·H·梅西,劳尔·特鲁希洛,Christopher Atwood,Rick Anglada,Terry Anderson,Robert Gantz,泰特·弗莱彻,Rodger Larance,Katalina Parrish,Sebastien Lemercier,Pascal Caucheteux,Christopher W. Garcia,Fred Padilla,Tom Joles,Jack T. Silliman,米盖尔·桑多瓦尔,Billy Fuessel,迈克尔·帕克斯,Chester Laurence,Genia Michaela,卢斯·雷恩斯"
远去的牧歌,376,万,"阿迪夏.夏热合曼,周军",剧情,2018-09-11大陆上映,"玛尔江.巴依吐肯,海拉提·哈利木,周军"
恐龙王,2836,万,施雅雅,"喜剧,动画,冒险",2018-11-10大陆上映,"苏鑫,许棕哲,吕佩玉,拜跃,王博,许文杰,徐思琦,许文奖,王衡,孙晔,吕梦瑶,李正翔,李郝瑞,穆雪婷"
最后一公里,435,万,李伟,剧情,2018-11-16大陆上映,"李彦锋,钟卫华,刘戈滨,徐晨耀,苗苗,王雨晗,陈依莎,赵成顺"
天慕,700,万,王强,"剧情,历史,传记",2018-09-21大陆上映,"宦普凡,巴金旺甲,纪萍,李先亮,庄庆宁,王子今,孙学增,韦长领,长孙虎子,马维干,杨皓宇,索朗卓嘎,刘奕,柳秉钰,蔡卫东,王挺,张风,赵军凯"
中国蓝盔,1726,万,宁海强,"剧情,动作,战争",2018-11-23大陆上映,"聂远,伊莉莎,郑卫莉,王强,刘一龙,沈浩,王韬,曹凯,达丽雅,彭士腾,蔡明凯,宁海强,一二先生,Shaune 尚 迪奥普,徐洪浩,萧森"
三只小猪2,2674,万,刘炜,动画,2018-12-08大陆重映,"刘北辰,胡谦,骆妍倩,李晔,贾邱,王骏,严丽祯,洪海天,王晓彤,王超远"
生活万岁,436,万,"程工,任长箴",纪录片,2018-11-27大陆上映,"康昕,刘良松,陈燕玲,任长箴,李少云,黄媛媛,胡兆翠,田有学,陈金凤,宋金,尹焕章,张天义,程工,李安甫,何英宇,宋龙超"
二十岁,317,万,刘畅,"剧情,喜剧",2018-11-30大陆上映,"叶子诚,徐晓璐,屈楚萧,张美娥,李毅,杨新鸣,包贝尔,孔垂楠,刘晔,于文文,伍宇辰柠,代乐乐,王红卫"
李保国,1213,万,赵琦,"剧情,传记",2018-07-25大陆上映,"施大生,曲士飞,孙思瀚,林永健,舒耀瑄,孙思翰,焦利明,韩一菲,郑文政,何政军,许文广,范俊良,周正启,黄健中,吴军,任铭松,李林蔚,侯天来,朱莹锟,徐丹,颜丹晨,巍子,王伟渊,靳国栋,金培达,朱凯,王雨嘉,李晓强,尤勇智,王匡,赵小宁,张佩,赵梓云,张敏杰,刘芳,屠亦然,晁振轩,戚云鹏,高明"
